160	1.2	0
-2.356194	0.674054	1.013609
0.000000	0.000000	0.000000
receptor_surface.pdb	2.488	-1.276	-5.592
ligand_surface.pdb	15.294	-2.125	34.964
1.570796	2.881233	-2.582574	0	44	5	2072.027
2.094395	1.391910	3.030322	145	44	155	2006.518
2.879793	2.041297	-2.664597	126	33	7	1907.744
-1.308997	0.733948	3.021411	145	117	139	1854.797
-0.523599	1.374601	-2.456031	37	133	150	1839.115
0.261799	0.762244	-0.273349	41	2	155	1824.391
-0.261799	2.404280	-0.174044	39	150	134	1818.870
-2.617994	0.733948	3.021411	42	154	136	1805.510
2.617994	0.960688	-0.577532	29	120	143	1800.334
-0.523599	2.247462	0.191623	40	138	140	1795.837
-2.356194	1.741644	-2.695914	119	138	141	1774.456
-3.141593	0.929350	-2.910676	37	144	133	1764.868
-1.047198	2.456751	-1.503343	48	141	157	1728.927
-1.832596	1.741644	-2.695914	131	128	150	1718.237
-0.261799	1.736875	3.023612	33	141	133	1713.723
-1.308997	1.335669	0.897240	144	36	133	1707.432
-2.879793	0.370812	-2.547742	126	136	153	1706.226
2.094395	1.569311	-3.003978	144	45	158	1683.944
2.617994	2.041297	-2.664597	130	38	6	1672.840
-2.094395	1.741644	-2.695914	123	132	141	1672.547
-1.832596	2.247462	0.191623	153	46	156	1669.203
-1.832596	0.496451	0.593859	47	134	146	1666.269
2.617994	0.929350	-2.910676	42	141	8	1653.562
2.617994	2.349581	-2.702517	131	39	9	1644.079
1.047198	1.184361	0.625864	148	45	4	1643.135
-2.094395	2.063651	-2.044600	42	128	145	1640.009
0.785398	1.948085	-2.363031	146	41	152	1639.953
1.047198	2.587733	0.232235	156	44	19	1637.803
-2.094395	1.904882	-1.478089	35	122	145	1635.069
-0.785398	0.297065	2.160177	6	43	156	1634.193
-3.141593	1.128190	-2.288622	125	151	10	1633.791
1.308997	0.640596	-2.797608	147	47	1	1631.535
2.094395	2.579248	-2.364801	151	45	8	1630.355
-2.879793	1.135813	-2.658866	122	3	4	1615.897
2.617994	2.719179	-1.780644	153	44	11	1613.496
-1.832596	1.875281	0.107086	157	46	159	1609.719
-1.308997	2.863997	0.549740	146	43	146	1607.154
-2.094395	0.496451	0.593859	41	126	145	1596.106
-0.261799	1.256302	0.062705	123	30	157	1595.620
0.000000	1.766067	2.153843	154	116	12	1594.584
-2.617994	0.960688	-0.577532	148	43	155	1578.574
-3.141593	2.979456	-1.009304	0	43	7	1577.207
2.094395	1.869911	2.701025	142	40	139	1574.867
1.047198	1.554776	0.100351	144	119	140	1571.703
0.523599	0.961715	0.014085	122	135	139	1569.994
-2.617994	2.251330	-2.330739	43	2	153	1569.419
1.570796	2.760637	2.781135	48	135	149	1569.112
-1.832596	2.033014	2.977192	151	45	4	1561.387
-1.832596	2.356369	3.005869	149	45	2	1560.619
-2.879793	2.041297	-2.664597	41	141	148	1560.450
1.047198	2.001437	0.381215	11	35	22	1559.934
1.308997	2.247462	0.191623	146	119	137	1559.211
-2.094395	2.153910	-1.714959	39	123	152	1556.482
-3.141593	1.869911	2.701025	46	144	155	1554.412
0.000000	1.440580	2.260026	144	121	153	1549.814
-2.094395	2.174483	2.653697	154	47	159	1545.395
-3.141593	2.041297	-2.664597	123	24	18	1544.608
-2.356194	1.417623	-0.202254	13	31	22	1542.391
-2.356194	1.135813	-2.658866	135	125	151	1541.914
-0.785398	1.504028	0.636812	38	133	151	1541.269
-1.308997	2.979456	-1.009304	39	131	2	1541.193
0.785398	1.335669	0.897240	151	44	11	1540.902
0.785398	0.080730	-2.622036	0	43	13	1540.350
-1.832596	1.658653	-2.409879	128	129	153	1540.025
